fen,san,name_ko,name_en,eval
r1bqk1nr/pppp1ppp/2n5/2b3N1/2BpP3/8/PPP2PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",-0.2
r1bqk2r/pppp1ppp/2n4n/2b3N1/2BpP3/8/PPP2PPP/RNBQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bqk2r/pppp1Npp/2n4n/2b5/2BpP3/8/PPP2PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bqk2r/pppp1npp/2n5/2b5/2BpP3/8/PPP2PPP/RNBQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7 Nxf7,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bqk2r/pppp1Bpp/2n5/2b5/3pP3/8/PPP2PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7 Nxf7 7. Bxf7+,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bq3r/pppp1kpp/2n5/2b5/3pP3/8/PPP2PPP/RNBQK2R w KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7 Nxf7 7. Bxf7+ Kxf7,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bq3r/pppp1kpp/2n5/2b4Q/3pP3/8/PPP2PPP/RNB1K2R b KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7 Nxf7 7. Bxf7+ Kxf7 8. Qh5+,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bq3r/pppp1k1p/2n3p1/2b4Q/3pP3/8/PPP2PPP/RNB1K2R w KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7 Nxf7 7. Bxf7+ Kxf7 8. Qh5+ g6,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bq3r/pppp1k1p/2n3p1/2Q5/3pP3/8/PPP2PPP/RNB1K2R b KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7 Nxf7 7. Bxf7+ Kxf7 8. Qh5+ g6 9. Qxc5,"스카치 게임: 스카치 갬빗, 서랫 바리에이션","Scotch Game: Scotch Gambit, Sarratt Variation",0.0
r1bq3r/ppp2k1p/2n3p1/2Qp4/3pP3/8/PPP2PPP/RNB1K2R w KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Nxf7 Nxf7 7. Bxf7+ Kxf7 8. Qh5+ g6 9. Qxc5 d5,스카치 게임: 코크런-슈모프 디펜스,Scotch Game: Cochrane-Shumov Defense,0.0
r1bqkbnr/pppp1ppp/2n5/8/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,-0.3
r1bqkbnr/pppp1ppp/2n5/8/4P3/2p2N2/PP3PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,0.2
r1bqkbnr/pppp1ppp/2n5/8/2B1P3/2p2N2/PP3PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Bc4,"스카치 게임: 괴링 갬빗, 더블 폰 희생","Scotch Game: Göring Gambit, Double Pawn Sacrifice",-0.1
r1bqkb1r/pppp1ppp/2n2n2/8/2B1P3/2p2N2/PP3PPP/RNBQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Bc4 Nf6,"스카치 게임: 괴링 갬빗, 더블 폰 희생","Scotch Game: Göring Gambit, Double Pawn Sacrifice",0.1
r1bqkb1r/pppp1ppp/2n2n2/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Bc4 Nf6 6. Nxc3,"스카치 게임: 괴링 갬빗, 더블 폰 희생","Scotch Game: Göring Gambit, Double Pawn Sacrifice",-0.2
r1bqk2r/pppp1ppp/2n2n2/8/1bB1P3/2N2N2/PP3PPP/R1BQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Bc4 Nf6 6. Nxc3 Bb4,"스카치 게임: 괴링 갬빗, 바르델레벤 바리에이션","Scotch Game: Göring Gambit, Bardeleben Variation",0.0
r1bqkbnr/pppp1ppp/2n5/8/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,-0.2
r1bqk1nr/pppp1ppp/2n5/8/1b2P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 Bb4,"스카치 게임: 괴링 갬빗, 메인 라인","Scotch Game: Göring Gambit, Main Line",0.1
r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/2p2N2/PP3PPP/RNBQ1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O,"스카치 게임: 스카치 갬빗, 런던 디펜스","Scotch Game: Scotch Gambit, London Defense",-0.1
r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/5N2/Pp3PPP/RNBQ1RK1 w kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O cxb2,"스카치 게임: 스카치 갬빗, 런던 디펜스","Scotch Game: Scotch Gambit, London Defense",-0.7
r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/5N2/PB3PPP/RN1Q1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O cxb2 7. Bxb2,"스카치 게임: 스카치 갬빗, 런던 디펜스","Scotch Game: Scotch Gambit, London Defense",0.8
r1bqk2r/pppp1ppp/2n2n2/8/1bB1P3/5N2/PB3PPP/RN1Q1RK1 w kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O cxb2 7. Bxb2 Nf6,"스카치 게임: 스카치 갬빗, 런던 디펜스","Scotch Game: Scotch Gambit, London Defense",-0.6
r1bqk2r/pppp1ppp/2n2n2/6N1/1bB1P3/8/PB3PPP/RN1Q1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O cxb2 7. Bxb2 Nf6 8. Ng5,"스카치 게임: 스카치 갬빗, 런던 디펜스","Scotch Game: Scotch Gambit, London Defense",0.1
r1bq1rk1/pppp1ppp/2n2n2/6N1/1bB1P3/8/PB3PPP/RN1Q1RK1 w - -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O cxb2 7. Bxb2 Nf6 8. Ng5 O-O,"스카치 게임: 스카치 갬빗, 런던 디펜스","Scotch Game: Scotch Gambit, London Defense",-0.3
r1bq1rk1/pppp1ppp/2n2n2/4P1N1/1bB5/8/PB3PPP/RN1Q1RK1 b - -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O cxb2 7. Bxb2 Nf6 8. Ng5 O-O 9. e5,"스카치 게임: 스카치 갬빗, 런던 디펜스","Scotch Game: Scotch Gambit, London Defense",0.2
r1bq1rk1/pppp1ppp/5n2/4n1N1/1bB5/8/PB3PPP/RN1Q1RK1 w - -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bb4+ 5. c3 dxc3 6. O-O cxb2 7. Bxb2 Nf6 8. Ng5 O-O 9. e5 Nxe5,스카치 게임: 하네켄 바리에이션,Scotch Game: Hanneken Variation,-0.3
r1bqkbnr/pppp1ppp/8/4p3/3nP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 Nxd4,스카치 게임: 롤리 바리에이션,Scotch Game: Lolli Variation,-0.7
r1bqkbnr/pppp1ppp/8/4p3/3NP3/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 Nxd4 4. Nxd4,스카치 게임: 롤리 바리에이션,Scotch Game: Lolli Variation,0.8
r1bqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 Nxd4 4. Nxd4 exd4,스카치 게임: 롤리 바리에이션,Scotch Game: Lolli Variation,-0.8
r1bqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 Nxd4 4. Nxd4 exd4 5. Qxd4,스카치 게임: 롤리 바리에이션,Scotch Game: Lolli Variation,0.6
r1bqkbnr/pppp1ppp/8/8/2BpP3/8/PPP2PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 Nxd4 4. Nxd4 exd4 5. Bc4,스카치 게임: 나폴레옹 갬빗,Scotch Game: Napoleon Gambit,0.3
r1bqkbnr/pppp1ppp/2n5/1B6/3pP3/5N2/PPP2PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bb5,스카치 게임: 렐프손 갬빗,Scotch Game: Relfsson Gambit,-0.6
r1bqkb1r/pppp1ppp/2n2n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6,스카치 게임: 스카치 갬빗,Scotch Game: Scotch Gambit,0.0
r1bqkb1r/pppp1ppp/2n2n2/4P3/2Bp4/5N2/PPP2PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. e5,"스카치 게임: 스카치 갬빗, 어드밴스 바리에이션","Scotch Game: Scotch Gambit, Advance Variation",-0.1
r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. O-O,스카치 게임: 핵소 갬빗,Scotch Game: Haxo Gambit,0.0
r1bqk1nr/ppp2ppp/2np4/2b5/2BpP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. O-O d6,스카치 게임: 핵소 갬빗,Scotch Game: Haxo Gambit,0.3
r1bqk1nr/ppp2ppp/2np4/2b5/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. O-O d6 6. c3,스카치 게임: 핵소 갬빗,Scotch Game: Haxo Gambit,0.0
r2qk1nr/ppp2ppp/2np4/2b5/2BpP1b1/2P2N2/PP3PPP/RNBQ1RK1 w kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. O-O d6 6. c3 Bg4,"스카치 게임: 스카치 갬빗, 코크런-안데르센 바리에이션","Scotch Game: Scotch Gambit, Cochrane-Anderssen Variation",0.3
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6,이탈리안 게임: 투 나이트 디펜스,Italian Game: Two Knights Defense,-0.1
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4,"이탈리안 게임: 투 나이트 디펜스, 오픈 바리에이션","Italian Game: Two Knights Defense, Open Variation",0.0
r1bqkbnr/ppp2ppp/2n5/3p4/3pP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 d5,"스카치 게임: 스카치 갬빗, 괴링 갬빗 거절","Scotch Game: Scotch Gambit, Göring Gambit Declined",0.0
r1bqkb1r/pppp1ppp/2n5/4P3/2Bp2n1/5N2/PPP2PPP/RNBQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. e5 Ng4,"스카치 게임: 스카치 갬빗, 킹사이드 바리에이션","Scotch Game: Scotch Gambit, Kingside Variation",-0.2
r1bqkbnr/ppp2ppp/2np4/8/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,0.2
r1bqkbnr/ppp2ppp/2np4/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,-0.2
r2qkbnr/ppp2ppp/2np4/8/2B1P1b1/2N2N2/PP3PPP/R1BQK2R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,-0.7
r2qkbnr/ppp2ppp/2np4/8/2B1P1b1/2N2N2/PP3PPP/R1BQ1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4 7. O-O,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,0.0
r2qkbnr/ppp2ppp/3p4/4n3/2B1P1b1/2N2N2/PP3PPP/R1BQ1RK1 w kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4 7. O-O Ne5,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,0.0
r2qkbnr/ppp2ppp/3p4/4N3/2B1P1b1/2N5/PP3PPP/R1BQ1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4 7. O-O Ne5 8. Nxe5,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,5.5
r2qkbnr/ppp2ppp/3p4/4N3/2B1P3/2N5/PP3PPP/R1Bb1RK1 w kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4 7. O-O Ne5 8. Nxe5 Bxd1,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,-20.0
r2qkbnr/ppp2Bpp/3p4/4N3/4P3/2N5/PP3PPP/R1Bb1RK1 b kq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4 7. O-O Ne5 8. Nxe5 Bxd1 9. Bxf7+,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,20.0
r2q1bnr/ppp1kBpp/3p4/4N3/4P3/2N5/PP3PPP/R1Bb1RK1 w - -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4 7. O-O Ne5 8. Nxe5 Bxd1 9. Bxf7+ Ke7,스카치 게임: 괴링 갬빗,Scotch Game: Göring Gambit,-20.0
r2q1bnr/ppp1kBpp/3p4/3NN3/4P3/8/PP3PPP/R1Bb1RK1 b - -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 dxc3 5. Nxc3 d6 6. Bc4 Bg4 7. O-O Ne5 8. Nxe5 Bxd1 9. Bxf7+ Ke7 10. Nd5#,스카치 게임: 시-케이댄 메이트,Scotch Game: Sea-Cadet Mate,0.0
r1bqk2r/pppp1ppp/2n4n/2b3NQ/2BpP3/8/PPP2PPP/RNB1K2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. Ng5 Nh6 6. Qh5,스카치 게임: 피츠툼 어택,Scotch Game: Vitzthum Attack,-1.2
r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4,스카치 게임,Scotch Game,0.1
r1b1kbnr/pppp1ppp/2n5/8/3NP2q/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4,스카치 게임: 슈타이니츠 바리에이션,Scotch Game: Steinitz Variation,-0.8
r1b1kbnr/pppp1ppp/2n5/1N6/4P2q/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nb5,스카치 게임: 호르비츠 어택,Scotch Game: Horwitz Attack,0.4
r1b1k1nr/pppp1ppp/2n5/1N6/1b2P2q/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nb5 Bb4+,스카치 게임: 호르비츠 어택,Scotch Game: Horwitz Attack,-0.3
r1b1k1nr/pppp1ppp/2n5/1N6/1b2P2q/8/PPPB1PPP/RN1QKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nb5 Bb4+ 6. Bd2,스카치 게임,Scotch Game,0.3
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6,스카치 게임: 슈미트 바리에이션,Scotch Game: Schmidt Variation,0.1
r1bqkb1r/pppp1ppp/2n2n2/4P3/3N4/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6 5. e5,스카치 게임: 알레킨 갬빗,Scotch Game: Alekhine Gambit,-0.8
r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5,스카치 게임: 클래시컬 바리에이션,Scotch Game: Classical Variation,-0.3
r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3,스카치 게임: 클래시컬 바리에이션,Scotch Game: Classical Variation,0.2
r1b1k1nr/pppp1ppp/2n2q2/2b5/3NP3/4B3/PPP2PPP/RN1QKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6,스카치 게임: 클래시컬 바리에이션,Scotch Game: Classical Variation,-0.2
r1b1k1nr/pppp1ppp/2n2q2/1Nb5/4P3/4B3/PPP2PPP/RN1QKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. Nb5,스카치 게임: 블루멘펠트 어택,Scotch Game: Blumenfeld Attack,-0.8
r1b1kbnr/pppp1ppp/2n5/8/3NP2q/4B3/PPP2PPP/RN1QKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Be3,스카치 게임: 브라우네 바리에이션,Scotch Game: Braune Variation,0.0
r1b1k1nr/pppp1ppp/2n2q2/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3,스카치 게임: 클래시컬 바리에이션,Scotch Game: Classical Variation,0.2
r1b1k2r/ppppnppp/2n2q2/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7,스카치 게임: 클래시컬 바리에이션,Scotch Game: Classical Variation,-0.2
r1b1k2r/ppppnppp/2n2q2/2b5/3NP3/2P1B3/PP1Q1PPP/RN2KB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",-0.2
r1bqk1nr/pppp1ppp/2N5/2b5/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nxc6,스카치 게임: 클래시컬 바리에이션,Scotch Game: Classical Variation,0.2
r1b1k1nr/pppp1ppp/2N2q2/2b5/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nxc6 Qf6,"스카치 게임: 클래시컬 바리에이션, 인터메조 바리에이션","Scotch Game: Classical Variation, Intermezzo Variation",-0.2
r1b1k1nr/pppp1ppp/2n3q1/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Qg6,"스카치 게임: 클래시컬 바리에이션, 밀레니엄 바리에이션","Scotch Game: Classical Variation, Millennium Variation",-0.2
r1b1kbnr/pppp1ppp/2n5/8/4P2q/5N2/PPP2PPP/RNBQKB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4 5. Nf3,스카치 게임: 프레이저 바리에이션,Scotch Game: Fraser Variation,0.0
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4,스카치 게임,Scotch Game,-0.6
r1bqkbnr/ppp2ppp/3p4/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4 5. Qxd4 d6,스카치 게임,Scotch Game,-1.2
r1bqkbnr/ppp2ppp/3p4/8/3QP3/3B4/PPP2PPP/RNB1K2R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4 5. Qxd4 d6 6. Bd3,스카치 게임: 굴람-카심 바리에이션,Scotch Game: Ghulam-Kassim Variation,0.5
r1b1k2r/ppp1nppp/2n2q2/2bp4/3NP3/2P1B3/PP1Q1PPP/RN2KB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",0.0
r1b1k2r/ppp1nppp/2n2q2/1Nbp4/4P3/2P1B3/PP1Q1PPP/RN2KB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",0.0
r1b1k2r/ppp1nppp/2n2q2/1N1p4/4P3/2P1b3/PP1Q1PPP/RN2KB1R w KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5 Bxe3,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",0.0
r1b1k2r/ppp1nppp/2n2q2/1N1p4/4P3/2P1Q3/PP3PPP/RN2KB1R b KQkq -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5 Bxe3 9. Qxe3,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",0.0
r1b2rk1/ppp1nppp/2n2q2/1N1p4/4P3/2P1Q3/PP3PPP/RN2KB1R w KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5 Bxe3 9. Qxe3 O-O,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",0.0
r1b2rk1/ppN1nppp/2n2q2/3p4/4P3/2P1Q3/PP3PPP/RN2KB1R b KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5 Bxe3 9. Qxe3 O-O 10. Nxc7,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",0.0
1rb2rk1/ppN1nppp/2n2q2/3p4/4P3/2P1Q3/PP3PPP/RN2KB1R w KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5 Bxe3 9. Qxe3 O-O 10. Nxc7 Rb8,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",0.5
1rb2rk1/pp2nppp/2n2q2/3N4/4P3/2P1Q3/PP3PPP/RN2KB1R b KQ -,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Qf6 6. c3 Nge7 7. Qd2 d5 8. Nb5 Bxe3 9. Qxe3 O-O 10. Nxc7 Rb8 11. Nxd5,"스카치 게임: 클래시컬 바리에이션, 블랙번 어택","Scotch Game: Classical Variation, Blackburne Attack",-1.7
